What is the primary thermodynamic reason that a chemical bond forms between two atoms?,The resulting arrangement of nuclei and electrons has a lower total energy than the separate atoms.
What is the name for a molecular orbital that has a lower energy than the atomic orbitals from which it was formed?,Bonding orbital
An _____ molecular orbital has a higher energy than the parent atomic orbitals and contains a node between the nuclei.,Antibonding
"In molecular orbital theory, what happens to the bond as electrons are added to antibonding orbitals?",The bond is weakened (bond order decreases).
What is the formula for calculating bond order in molecular orbital theory?,\frac{1}{2} \times (\text{number of bonding electrons} - \text{number of antibonding electrons})
A diatomic molecule built from atoms of two different elements is called a _____ diatomic molecule.,Heteronuclear
Why is hydrogen bonding particularly strong compared to other dipole-dipole interactions?,"The small size of the hydrogen atom allows for very close approach of the electronegative atoms (N, O, F)."
Which specific atoms must hydrogen be covalently bonded to for hydrogen bonding to occur?,"Nitrogen, oxygen, or fluorine"
What are London dispersion forces?,"Weak attractions resulting from the interaction of instantaneous, fluctuating dipoles in atoms or molecules."
The _____ is the contribution an individual atom makes to the total length of a covalent bond.,Covalent radius
"In the VSEPR model, how are double and triple bonds treated when predicting molecular shape?",As a single region of high electron density (or a single 'electron group').
What is the bond angle in a trigonal planar molecule such as BF_3?,120^\circ
What molecular shape is adopted by a molecule with two bonding pairs and two lone pairs on the central atom?,Bent (or V-shaped)
What is the principal quantum number (n) of the valence shell for elements in Period 3?,3
Why does electronegativity generally increase from left to right across a period?,"The effective nuclear charge increases, attracting electrons more strongly."
"According to the Pauli exclusion principle, how must the spins of two electrons in the same orbital be related?",They must have opposite spins.
Which type of bond is found in solid NaCl?,Ionic bond
Lewis structure of N_2 involves a _____ bond between the two nitrogen atoms.,Triple
"Elements in Group 13, such as boron and aluminum, often form compounds with _____ octets.",Incomplete
How does the size of a cation typically compare to its parent neutral atom?,The cation is smaller.
"In a _____ bond, both electrons in the shared pair originate from the same atom.",Coordinate covalent (or dative)
The potential energy minimum on a plot of energy versus internuclear distance for two atoms corresponds to the _____.,Bond length
What type of hybridization is associated with a linear molecular geometry?,sp
A molecule with zero electric dipole moment is called a _____ molecule.,Nonpolar
How many \sigma and \pi bonds are present in a triple bond?,One \sigma bond and two \pi bonds.
Which subatomic particle was discovered by J. J. Thomson using cathode rays?,The electron
The region in space around a nucleus where there is a high probability of finding an electron is called an _____.,Orbital
"According to the building-up principle, which orbital is filled after the 1s orbital?",2s
What is the bond order of the O_2 molecule?,2
An atom that has lost one or more electrons is called a _____.,Cation
An atom that has gained one or more electrons is called an _____.,Anion
The attractive force between an atom and the shared electrons in a bond is its _____.,Electronegativity
Which type of compound is H_2O classified as?,Binary molecular compound
What is the approximate bond angle in a tetrahedral molecule?,109.5^\circ
What is the term for the average distance between the nuclei of two bonded atoms?,Bond length
"In molecular orbital theory, the \sigma_{1s} orbital is a _____ orbital, while the \sigma^*_{1s} orbital is an _____ orbital.",Bonding; antibonding
The property of an atom to be easily distorted by an external electric field is its _____.,Polarizability
What hybridization is present in the carbon atoms of ethene (C_2H_4)?,sp^2
What hybridization is present in the carbon atoms of ethyne (C_2H_2)?,sp
The 'sea of electrons' model is used to explain the properties of _____.,Metals
"In the context of bonding, what does the term 'resonance hybrid' represent?",The actual structure that is an average of all contributing resonance forms.
Which interaction is generally the strongest among noncovalent bonds in biomolecules?,Ionic interaction (or salt bridge)
A covalent bond between two atoms of the same element is always _____.,Nonpolar
What describes the situation where an atom in a molecule has fewer than eight valence electrons?,Incomplete octet
