What term defines the minimum energy required to initiate a chemical reaction?,Activation energy (E_a).
Which constant in the transition state rate equation (k = \frac{k_B T}{h} e^{-\Delta G^\ddagger / RT}) represents the available thermal energy?,k_B T (Boltzmann constant times temperature).
A single-step reaction that shows the actual molecular collision is called an _____.,Elementary reaction.
What happens to the kinetic energy of reactants as they 'climb' the activation barrier?,It is converted into potential energy.
"If the forward reaction is exothermic, will the activation energy for the reverse reaction be higher or lower than that of the forward reaction?",Higher.
What determines the direction of a spontaneous chemical process according to thermodynamics?,The sign of the free-energy change (\Delta G).
How does 'induced fit' in enzymes relate to activation energy?,"The enzyme changes shape to better complement the transition state, maximizing binding energy to lower E_a."
The sum of the exponents of the concentration terms in a rate law is the _____.,Overall reaction order.
What is the unit of the Boltzmann constant (k_B)?,J \cdot K^{-1}.
"In the Arrhenius equation, what does R represent?",The molar gas constant.
Why is the concentration of the transition state in a reacting system typically very small?,Because it is highly unstable and exists for a very short duration (10^{-13} to 10^{-14} seconds).
