"In thermodynamics, what term describes the sum of a system and its surroundings?",The universe
What term refers to the change in enthalpy per mole for the formation of a compound from its elements in their most stable forms?,Standard enthalpy of formation (\Delta H_f^\circ)
Why can an endothermic reaction still be spontaneous?,If the increase in the system's entropy is large enough to overcome the decrease in the surroundings' entropy caused by heat absorption.
The standard set of conditions for chemists usually includes a temperature of _____.,298.15\text{ K} (or 25^\circ\text{C})
Is the enthalpy of a system a measure of the energy it 'possesses' in a fundamental sense like internal energy?,No; it is a bookkeeping device to account for expansion work during heat transfers at constant pressure.
Formula: Entropy of the universe,\Delta S_{universe} = \Delta S_{system} + \Delta S_{surroundings}
What happens to the spontaneity of an endothermic reaction as temperature increases?,The reaction becomes more likely to be spontaneous as T\Delta S becomes larger than \Delta H.
"In information theory, what has 'information' been described as in relation to entropy?",Negative entropy (or 'negentropy')
The constantTransactions between a biological system and its surroundings allow organisms to create _____ within themselves while obeying the Second Law.,order
Which constant relates the gas constant (R) to the Boltzmann constant (k)?,"Avogadro's constant (N_A), where R = k N_A"
"If \\Delta G^\\circ for a reaction is positive, what does this imply about the equilibrium constant K?",K < 1 (the reactants are favored at equilibrium)
What is the sign of \\Delta S for the melting of ice?,Positive (randomness increases as solid becomes liquid)
The process of achieving motion against an opposing force is the definition of _____.,work
True or False: A large negative value of \\Delta G means the reaction will happen instantly.,"False; it only indicates the reaction is thermodynamically favorable, not its speed."
"In a reversible process, how must the temperature of the system and surroundings differ?",By an infinitesimal amount.
What is the standard molar entropy of a pure element in its stable state at 298\text{ K}?,"It is a positive value (unlike enthalpy of formation, which is zero)."
Which thermodynamic quantity approximately reflects the number and kinds of chemical bonds broken and formed in a reaction?,Enthalpy (H)
What is the relationship between \\Delta G_{vap} and the standard vapor pressure of a liquid at equilibrium?,"At equilibrium, \Delta G_{vap} = 0, which links the vapor pressure to \Delta G_{vap}^\circ via \Delta G_{vap}^\circ = -RT \ln(P/P^\circ)."
