What is the total blood volume in an average adult expressed as a percentage of total body weight?,7\% to 8\%.
The shift from embryonic (primitive) hemoglobin to fetal (definitive) hemoglobin occurs at approximately how many weeks of gestation?,Five weeks.
Which embryonic structure is the first supplier of blood cells to the circulation?,The yolk sac.
Definitive HSCs colonize the bone marrow and begin contributing to blood cell production as early as _____ weeks of development.,10.5
What trophic factor and its corresponding receptor are crucial for the survival and proliferation of HSCs in the AGM region and liver?,Stem cell factor (SCF) and c-Kit receptor.
What is the primary function of the splenic red pulp?,Filtering and degrading old or damaged red blood cells.
"The splenic cords, where blood percolates through a meshwork of reticular fibers, are also known as _____.",Cords of Billroth
"In the spleen, which pulp contains high concentrations of lymphocytes and forms the periarterial lymphatic sheath (PALS)?",White pulp.
What specialized macrophage in the liver is part of the mononuclear phagocytic system?,Kupffer cell.
What byproduct of hemoglobin degradation is transported to the liver to be excreted in bile?,Bilirubin.
What percentage of platelets are produced daily in a healthy adult bone marrow?,Approximately 1 \times 10^{11} platelets.
Which WBC is readily identified by a 'U-shaped' or multi-lobed nucleus and neutral-staining granules?,Neutrophil.
The presence of a Barr body (a small appendage on a nuclear lobe) in a neutrophil indicates that the blood sample came from a _____.,female
Which progenitor cell gives rise to the neutrophilic lineage?,NoP (Neutrophil progenitor) or CFU-G.
"Which cytokine, secreted by T cells and endothelial cells, stimulates the production of all granulocytes and monocytes?",GM-CSF.
What is the term for the transitory opening in a bone marrow endothelial cell through which a mature blood cell enters the sinusoid?,Aperture.
"What specific transcription factor, when expressed in CLP cells, leads to T-lymphocyte differentiation?",GATA-3.
"In adults, red bone marrow is restricted to the spaces of spongy bone in specific locations; name two of these sites.",Sternum and iliac crest.
Name the three components of the primitive venous system in the embryo.,"Cardinal system, vitelline veins, and umbilical veins."
Hematopoietic clusters on the ventral floor of the dorsal aorta in the AGM region express which marker for hematopoietic cell development?,CD45.
"Which type of erythrocyte, formed in the yolk sac, is typically nucleated and contains embryonic hemoglobin?",Primitive erythrocyte.
