Which standard amino acids have side chains that are amide derivatives of acidic amino acids?,Asparagine and glutamine.
What force is primarily responsible for holding multiple subunits together in quaternary structure?,"Noncovalent interactions (such as hydrogen bonds, ionic bonds, and hydrophobic effects)."
How many residues are typically found in one full turn of an \alpha-helix?,3.6 residues.
The _____ configuration is used for naming amino acids based on their relationship to glyceraldehyde.,"D, L"
What defines a simple protein versus a conjugated protein?,Simple proteins contain only amino acid residues; conjugated proteins contain additional non-amino acid groups.
"In the Cahn-Ingold-Prelog (RS) system, nearly all chiral amino acids are in the _____ configuration.",S
Which standard amino acid has a side chain consisting only of a methyl group?,Alanine.
What is the primary function of enzymes in biological systems?,To act as catalysts that lower the activation energy of chemical reactions.
What characterizes a fibrous protein?,"An elongated, water-insoluble structure that provides strength or flexibility to cells."
What characterizes a globular protein?,"A compact, water-soluble structure that carries out metabolic or regulatory functions."
Which level of protein structure dictates the final three-dimensional conformation?,Primary structure.
"The process of joining amino acids by removing a water molecule is _____, while the process of breaking them apart by adding water is _____.",condensation; hydrolysis
Which standard amino acid is the only one to contain a secondary amine?,Proline.
What is the net charge of the tripeptide Gly-Ala-Val at pH\ 7?,Zero.
Concept: Residue.,"Definition: An amino acid unit within a polypeptide chain, missing the atoms lost during peptide bond formation."
Which type of covalent bond (other than the peptide bond) is common in extracellular proteins to stabilize their structure?,Disulfide bonds.
Why is the peptide bond planar?,Because it has partial double-bond character that prevents rotation about the C-N bond.
